,Q,AV-Diff(low),VO2_EstLow,AV-Diff(high),VO2_Est(high),VO2_mlKgmin(low),VO2_estMedium,VO2_mlKgmin(medium),VO2_mlKgmin(high),METs(low),METs(high),METs(medium),
,5,0.1,0.5,0.2,1,6.25,0.75,9.375,12.5,1.79,3.57,2.68,
,6,0.1,0.6,0.2,1.2,7.5,0.9,11.25,15,2.14,4.29,3.21,
,7,0.1,0.7,0.2,1.4,8.75,1.05,13.125,17.5,2.50,5.00,3.75,
,8,0.1,0.8,0.2,1.6,10,1.2,15,20,2.86,5.71,4.29,
,9,0.1,0.9,0.2,1.8,11.25,1.35,16.875,22.5,3.21,6.43,4.82,
,10,0.1,1,0.2,2,12.5,1.5,18.75,25,3.57,7.14,5.36,
,11,0.1,1.1,0.2,2.2,13.75,1.65,20.625,27.5,3.93,7.86,5.89,
,12,0.1,1.2,0.2,2.4,15,1.8,22.5,30,4.29,8.57,6.43,
,13,0.1,1.3,0.2,2.6,16.25,1.95,24.375,32.5,4.64,9.29,6.96,
,14,0.1,1.4,0.2,2.8,17.5,2.1,26.25,35,5.00,10.00,7.50,
,15,0.1,1.5,0.2,3,18.75,2.25,28.125,37.5,5.36,10.71,8.04,
,16,0.1,1.6,0.2,3.2,20,2.4,30,40,5.71,11.43,8.57,
,17,0.1,1.7,0.2,3.4,21.25,2.55,31.875,42.5,6.07,12.14,9.11,
,18,0.1,1.8,0.2,3.6,22.5,2.7,33.75,45,6.43,12.86,9.64,
,19,0.1,1.9,0.2,3.8,23.75,2.85,35.625,47.5,6.79,13.57,10.18,
,20,0.1,2,0.2,4,25,3,37.5,50,7.14,14.29,10.71,
,21,0.1,2.1,0.2,4.2,26.25,3.15,39.375,52.5,7.50,15.00,11.25,
,22,0.1,2.2,0.2,4.4,27.5,3.3,41.25,55,7.86,15.71,11.79,
,23,0.1,2.3,0.2,4.6,28.75,3.45,43.125,57.5,8.21,16.43,12.32,
,24,0.1,2.4,0.2,4.8,30,3.6,45,60,8.57,17.14,12.86,
,25,0.1,2.5,0.2,5,31.25,3.75,46.875,62.5,8.93,17.86,13.39,
,26,0.1,2.6,0.2,5.2,32.5,3.9,48.75,65,9.29,18.57,13.93,
,27,0.1,2.7,0.2,5.4,33.75,4.05,50.625,67.5,9.64,19.29,14.46,
,28,0.1,2.8,0.2,5.6,35,4.2,52.5,70,10.00,20.00,15.00,