ID,R Grip 1 (KG),R Grip 2 (KG),R Grip 3 (KG),R Grip 4 (KG),R Grip 5 (KG),L Grip 1 (KG),L Grip 2 (KG),L Grip 3 (KG),L Grip 4 (KG),L Grip 5 (KG),Wall Sits (seconds),PushUps (reps),R External Rotation (KG),L External Rotation (KG)
1,25,45,45,41,30,30,46,33,31,22,120,57,,
2,32,42,48,42,20,29,35,39,30,20,301,100,,
3,36,56,62,52,38,34,66,70,66,48,210,69,,
4,20,28,28,24,22,22,24,22,18,16,,28,,
5,26,30,36,32,30,22,30,34,26,22,95,31,,
6,15,45,48,45,30,12,38,46,42,25,255,58,15,10
7,31,51,50,40,32,39,60,62,53,45,90,65,,
8,32,50,50,42,34,36,48,42,40,28,145,71,,
9,24,42,40,35,25,32,45,42,32,22,180,,17,19.5
10,28,27,34,24,20,24,24,28,20,16,120,43,,
11,42,40,35,30,30,40,41,38,35,30,240,50,15,15
12,39,66,60,52,40,56,64,60,52,46,180,69,,
13,45,49,41,35,30,35,45,41,40,30,180,72,,
14,44,38,30,32,22,38,30,26,24,18,481,60,,
15,32,44,42,32,26,n/a,n/a,n/a,n/a,n/a,144,50,,
16,14,16,18,16,15,14,20,18,16,12,120,30,,
17,50,70,60,58,60,50,55,50,50,45,198,42,,
18,32,36,30,24,18,22,30,28,22,20,210,50,,
19,,,,,,,,,,,,,,
20,28,31,30,22,20,22,30,26,18,16,120,40,,
21,30,40,48,30,28,32,40,42,34,30,105,44,,
mean,31.25,42.3,41.75,35.4,28.5,31,40.57894737,39.31578947,34.15789474,26.89473684,183.8947368,47.92,16,