ID,Seconds,Resistance (kg),RPM,ActualRPM,Force (N),Revolutions,Power (watts),Peak Power,Mean Power,Min Power,Fatigue Index
1,5,7.5,19,114,684,9.5,7797.6,7797.6,6321.6,4233.6,0.4570637119
1,10,7.5,19,114,684,9.5,7797.6,,,,
1,15,7.5,18,108,648,9,6998.4,,,,
1,20,7.5,17,102,612,8.5,6242.4,,,,
1,25,7.5,15,90,540,7.5,4860,,,,
1,30,7.5,14,84,504,7,4233.6,,,,
2,5,7.5,19,114,684,9.5,7797.6,7797.6,4629.6,2613.6,0.6648199446
2,10,7.5,17,102,612,8.5,6242.4,,,,
2,15,7.5,15,90,540,7.5,4860,,,,
2,20,7.5,13,78,468,6.5,3650.4,,,,
2,25,7.5,11,66,396,5.5,2613.6,,,,
2,30,7.5,11,66,396,5.5,2613.6,,,,
5,5,6.5,14,84,504,7,4233.6,4233.6,2358,1058.4,0.75
5,10,6.5,12,72,432,6,3110.4,,,,
5,15,6.5,11,66,396,5.5,2613.6,,,,
5,20,6.5,9,54,324,4.5,1749.6,,,,
5,25,6.5,8,48,288,4,1382.4,,,,
5,30,6.5,7,42,252,3.5,1058.4,,,,
6,5,9.5,17,102,612,8.5,6242.4,6242.4,4176,2160,0.6539792388
6,10,9.5,16,96,576,8,5529.6,,,,
6,15,9.5,15,90,540,7.5,4860,,,,
6,20,9.5,13,78,468,6.5,3650.4,,,,
6,25,9.5,11,66,396,5.5,2613.6,,,,
6,30,9.5,10,60,360,5,2160,,,,
8,5,7.5,19,114,684,9.5,7797.6,7797.6,4388.4,2160,0.7229916898
8,10,7.5,17,102,612,8.5,6242.4,,,,
8,15,7.5,15,90,540,7.5,4860,,,,
8,20,7.5,12,72,432,6,3110.4,,,,
8,25,7.5,10,60,360,5,2160,,,,
8,30,7.5,10,60,360,5,2160,,,,
11,5,5.5,18,108,648,9,6998.4,6998.4,4147.2,2613.6,0.6265432099
11,10,5.5,15,90,540,7.5,4860,,,,
11,15,5.5,13,78,468,6.5,3650.4,,,,
11,20,5.5,13,78,468,6.5,3650.4,,,,
11,25,5.5,12,72,432,6,3110.4,,,,
11,30,5.5,11,66,396,5.5,2613.6,,,,
12,5,7.5,19,114,684,9.5,7797.6,7797.6,4143.6,2160,0.7229916898
12,10,7.5,16,96,576,8,5529.6,,,,
12,15,7.5,13,78,468,6.5,3650.4,,,,
12,20,7.5,12,72,432,6,3110.4,,,,
12,25,7.5,11,66,396,5.5,2613.6,,,,
12,30,7.5,10,60,360,5,2160,,,,
13,5,7.5,21,126,756,10.5,9525.6,9525.6,4802.4,2160,0.7732426304
13,10,7.5,18,108,648,9,6998.4,,,,
13,15,7.5,15,90,540,7.5,4860,,,,
13,20,7.5,12,72,432,6,3110.4,,,,
13,25,7.5,10,60,360,5,2160,,,,
13,30,7.5,10,60,360,5,2160,,,,
14,5,5.5,18,108,648,9,6998.4,6998.4,5454,4233.6,0.3950617284
14,10,5.5,17,102,612,8.5,6242.4,,,,
14,15,5.5,16,96,576,8,5529.6,,,,
14,20,5.5,15,90,540,7.5,4860,,,,
14,25,5.5,15,90,540,7.5,4860,,,,
14,30,5.5,14,84,504,7,4233.6,,,,
17,5,7.5,20,120,720,10,8640,8640,5076,2613.6,0.6975
17,10,7.5,18,108,648,9,6998.4,,,,
17,15,7.5,15,90,540,7.5,4860,,,,
17,20,7.5,14,84,504,7,4233.6,,,,
17,25,7.5,12,72,432,6,3110.4,,,,
17,30,7.5,11,66,396,5.5,2613.6,,,,
21,5,8.5,16,96,576,8,5529.6,5529.6,3135.6,1749.6,0.68359375
21,10,8.5,13,78,468,6.5,3650.4,,,,
21,15,8.5,12,72,432,6,3110.4,,,,
21,20,8.5,11,66,396,5.5,2613.6,,,,
21,25,8.5,10,60,360,5,2160,,,,
21,30,8.5,9,54,324,4.5,1749.6,,,,